filename,Species Name English,low_freq,high_freq,start,end,year,month,day,part_of_day,hour,season,spectrogram
2459626.192622_Tautenburg___6589-9171kHz___10-10.9s___b.,"'Blackbird',",6589,9171,10,10.9,2022,2,15,Afternoon,16,Winter,"[[-15.445839  -17.637913  -24.47589   ...   0.          0.
    0.       ]
 [-15.5922985 -15.888922  -16.403229  ...   0.          0.
    0.       ]
 [-14.599116  -21.658247  -13.104638  ...   0.          0.
    0.       ]
 ...
 [-58.96494   -65.45605   -80.        ...   0.          0.
    0.       ]
 [-58.988495  -65.47299   -80.        ...   0.          0.
    0.       ]
 [-59.008274  -65.470116  -80.        ...   0.          0.
    0.       ]]"
2459627.200193_Tautenburg___5660-8965kHz___10-11.3s___b.,"'Blackbird',",5660,8965,10,11.3,2022,2,16,Afternoon,16,Winter,"[[-33.34348  -35.395584 -26.11939  ... -22.214216 -23.07051  -23.57419 ]
 [-25.516165 -22.393093 -27.867228 ... -20.024082 -25.329548 -21.52121 ]
 [-20.854158 -15.787409 -15.159922 ... -16.62975  -15.304462 -19.65166 ]
 ...
 [-47.960285 -54.040585 -80.       ... -80.       -74.374985 -60.02495 ]
 [-47.963085 -54.04548  -80.       ... -80.       -74.38311  -60.03202 ]
 [-47.96769  -54.047775 -80.       ... -80.       -74.39352  -60.03146 ]]"
2459627.201466_Tautenburg___5907-8964kHz___10-11s___b.,"'Blackbird',",5907,8964,10,11.0,2022,2,16,Afternoon,16,Winter,"[[-23.623714 -19.718632 -20.199257 ...   0.         0.         0.      ]
 [-19.137573 -13.542671 -13.736149 ...   0.         0.         0.      ]
 [-17.806187 -11.258631 -12.939611 ...   0.         0.         0.      ]
 ...
 [-65.526215 -70.875534 -80.       ...   0.         0.         0.      ]
 [-65.68162  -71.00576  -80.       ...   0.         0.         0.      ]
 [-65.72946  -71.046684 -80.       ...   0.         0.         0.      ]]"
2459627.746915_Tautenburg___5763-9192kHz___10-11s___b.,"'Blackbird',",5763,9192,10,11.0,2022,2,17,Morning,05,Winter,"[[-40.55662  -19.336687 -25.613527 ... -25.311462 -26.79792  -31.303532]
 [-27.21465  -18.217802 -17.372412 ... -32.555805 -30.076488 -32.87989 ]
 [-22.70346  -20.65415  -18.0786   ... -25.6008   -20.61799  -19.69944 ]
 ...
 [-68.813034 -74.9753   -80.       ... -80.       -69.404144 -50.763138]
 [-68.81094  -74.96875  -80.       ... -80.       -69.42539  -50.7652  ]
 [-68.81519  -74.975624 -80.       ... -80.       -69.42107  -50.766247]]"
2459627.747022_Tautenburg___6134-8798kHz___10-11s___b.,"'Blackbird',",6134,8798,10,11.0,2022,2,17,Morning,05,Winter,"[[-40.70389  -44.25055  -36.725353 ... -40.22541  -21.937002 -20.532927]
 [-25.877735 -25.151127 -25.28732  ... -17.284695 -19.953802 -21.898567]
 [-20.055256 -16.103832 -16.30897  ... -17.414288 -25.916077 -14.980631]
 ...
 [-54.320744 -60.405567 -80.       ... -80.       -80.       -64.53771 ]
 [-54.326866 -60.41156  -80.       ... -80.       -80.       -64.53963 ]
 [-54.32778  -60.412605 -80.       ... -80.       -80.       -64.53905 ]]"
2459627.747211_Tautenburg___6010-8592kHz___10-11.2s___b.,"'Blackbird',",6010,8592,10,11.2,2022,2,17,Morning,05,Winter,"[[-32.47015  -21.421381 -14.003301 ...   0.         0.         0.      ]
 [-28.607817 -21.224586 -13.65274  ...   0.         0.         0.      ]
 [-21.950768 -20.78916  -13.900151 ...   0.         0.         0.      ]
 ...
 [-54.93784  -60.92619  -80.       ...   0.         0.         0.      ]
 [-54.95515  -60.945362 -80.       ...   0.         0.         0.      ]
 [-54.95212  -60.95902  -80.       ...   0.         0.         0.      ]]"
2459627.747255_Tautenburg___5887-8551kHz___10-11.2s___b.,"'Blackbird',",5887,8551,10,11.2,2022,2,17,Morning,05,Winter,"[[-24.471096 -25.23913  -24.839348 ...   0.         0.         0.      ]
 [-25.908596 -20.777046 -18.379004 ...   0.         0.         0.      ]
 [-25.420383 -20.345211 -22.406889 ...   0.         0.         0.      ]
 ...
 [-64.46297  -70.264755 -80.       ...   0.         0.         0.      ]
 [-64.48855  -70.295235 -80.       ...   0.         0.         0.      ]
 [-64.499    -70.30807  -80.       ...   0.         0.         0.      ]]"
2459627.747324_Tautenburg___5660-8841kHz___10-11.2s___b.,"'Blackbird',",5660,8841,10,11.2,2022,2,17,Morning,05,Winter,"[[-50.052155 -46.973923 -47.850266 ... -44.8416   -55.6215   -46.27597 ]
 [-43.73076  -42.729424 -43.40323  ... -43.20259  -45.920124 -45.45456 ]
 [-35.444427 -31.474518 -32.021843 ... -35.30531  -40.66935  -46.442703]
 ...
 [-77.19844  -80.       -80.       ... -80.       -80.       -75.48686 ]
 [-77.19945  -80.       -80.       ... -80.       -80.       -75.48746 ]
 [-77.20224  -80.       -80.       ... -80.       -80.       -75.49208 ]]"
2459627.747391_Tautenburg___5660-8469kHz___10-11.3s___b.,"'Blackbird',",5660,8469,10,11.3,2022,2,17,Morning,05,Winter,"[[-11.424549  -9.721066 -15.543547 ...   0.         0.         0.      ]
 [-14.850033 -12.775679 -17.47641  ...   0.         0.         0.      ]
 [-19.289148 -15.766705 -14.861906 ...   0.         0.         0.      ]
 ...
 [-61.14157  -67.37785  -80.       ...   0.         0.         0.      ]
 [-61.133286 -67.38217  -80.       ...   0.         0.         0.      ]
 [-61.13629  -67.40413  -80.       ...   0.         0.         0.      ]]"
2459627.747440_Tautenburg___6197-8448kHz___10-11.3s___b.,"'Blackbird',",6197,8448,10,11.3,2022,2,17,Morning,05,Winter,"[[-34.24866  -30.257963 -35.882935 ... -30.529024 -29.20479  -25.274591]
 [-30.879873 -34.127712 -25.148764 ... -21.961102 -27.617687 -21.046835]
 [-26.07918  -21.896566 -15.551739 ... -10.871386 -14.587278 -18.776066]
 ...
 [-56.565277 -62.392178 -80.       ... -80.       -77.766754 -69.27268 ]
 [-56.589672 -62.409634 -80.       ... -80.       -77.85365  -69.362366]
 [-56.59594  -62.409714 -80.       ... -80.       -77.88953  -69.38539 ]]"
