filename,juliandate,loc,low_freq,high_freq,start,end,species,species_eng,species_ger
2459626.192622_Tautenburg___6589-9171kHz___10-10.9s___b.,2459626.192622,Tautenburg,6589.0,9171,10,10.9,b.,Blackbird/Amsel,
2459626.320473_Tautenburg___1591-5722kHz___10-25.8s___ch,2459626.320473,Tautenburg,1591.0,5722,10,25.8,ch,Chaffinch/Buchfink,
2459626.327428_Tautenburg___1652-4606kHz___10-11.4s___ch,2459626.327428,Tautenburg,1652.0,4606,10,11.4,ch,Chaffinch/Buchfink,
2459626.341944_Tautenburg___1074-5122kHz___10-19s___ch,2459626.341944,Tautenburg,1074.0,5122,10,19.0,ch,Chaffinch/Buchfink,
2459626.344165_Tautenburg___868-5639kHz___10-25.9s___ch,2459626.344165,Tautenburg,868.0,5639,10,25.9,ch,Chaffinch/Buchfink,
2459626.345889_Tautenburg___1549-5205kHz___10-11.8s___ch,2459626.345889,Tautenburg,1549.0,5205,10,11.8,ch,Chaffinch/Buchfink,
2459626.397804_Tautenburg___1942-4875kHz___10-12.5s___gr,2459626.397804,Tautenburg,1942.0,4875,10,12.5,gr,Greenfinch/Gruenfink,
2459626.400262_Tautenburg___1343-5598kHz___10-28.3s___gr,2459626.400262,Tautenburg,1343.0,5598,10,28.3,gr,Greenfinch/Gruenfink,
2459626.400582_Tautenburg___1529-4462kHz___10-11.5s___gr,2459626.400582,Tautenburg,1529.0,4462,10,11.5,gr,Greenfinch/Gruenfink,
2459626.400801_Tautenburg___1632-4751kHz___10-19.2s___ch,2459626.400801,Tautenburg,1632.0,4751,10,19.2,ch,Chaffinch/Buchfink,
2459626.401323_Tautenburg___1570-5143kHz___10-29.1s___ch,2459626.401323,Tautenburg,1570.0,5143,10,29.1,ch,Chaffinch/Buchfink,
2459626.545801_Tautenburg___1818-5556kHz___10-17.8s___ch,2459626.545801,Tautenburg,1818.0,5556,10,17.8,ch,Chaffinch/Buchfink,
2459627.200193_Tautenburg___5660-8965kHz___10-11.3s___b.,2459627.200193,Tautenburg,5660.0,8965,10,11.3,b.,Blackbird/Amsel,
2459627.201466_Tautenburg___5907-8964kHz___10-11s___b.,2459627.201466,Tautenburg,5907.0,8964,10,11.0,b.,Blackbird/Amsel,
2459627.746915_Tautenburg___5763-9192kHz___10-11s___b.,2459627.746915,Tautenburg,5763.0,9192,10,11.0,b.,Blackbird/Amsel,
2459627.747022_Tautenburg___6134-8798kHz___10-11s___b.,2459627.747022,Tautenburg,6134.0,8798,10,11.0,b.,Blackbird/Amsel,
2459627.747211_Tautenburg___6010-8592kHz___10-11.2s___b.,2459627.747211,Tautenburg,6010.0,8592,10,11.2,b.,Blackbird/Amsel,
2459627.747255_Tautenburg___5887-8551kHz___10-11.2s___b.,2459627.747255,Tautenburg,5887.0,8551,10,11.2,b.,Blackbird/Amsel,
2459627.747324_Tautenburg___5660-8841kHz___10-11.2s___b.,2459627.747324,Tautenburg,5660.0,8841,10,11.2,b.,Blackbird/Amsel,
2459627.747391_Tautenburg___5660-8469kHz___10-11.3s___b.,2459627.747391,Tautenburg,5660.0,8469,10,11.3,b.,Blackbird/Amsel,
2459627.747440_Tautenburg___6197-8448kHz___10-11.3s___b.,2459627.74744,Tautenburg,6197.0,8448,10,11.3,b.,Blackbird/Amsel,
2459627.747574_Tautenburg___6445-9068kHz___10-11.6s___b.,2459627.747574,Tautenburg,6445.0,9068,10,11.6,b.,Blackbird/Amsel,
2459627.747643_Tautenburg___6403-8324kHz___10-11.2s___b.,2459627.747643,Tautenburg,6403.0,8324,10,11.2,b.,Blackbird/Amsel,
2459627.748027_Tautenburg___6031-8695kHz___10-11.3s___b.,2459627.748027,Tautenburg,6031.0,8695,10,11.3,b.,Blackbird/Amsel,
2459627.748257_Tautenburg___5990-8964kHz___10-11.1s___b.,2459627.748257,Tautenburg,5990.0,8964,10,11.1,b.,Blackbird/Amsel,
2459628.198888_Tautenburg___6733-9521kHz___10-11s___b.,2459628.198888,Tautenburg,6733.0,9521,10,11.0,b.,Blackbird/Amsel,
2459628.609172_Tautenburg___1013-7168kHz___10-11.9s___co,2459628.609172,Tautenburg,1013.0,7168,10,11.9,co,Coot/Blaesshuhn,
2459628.609201_Tautenburg___1797-6940kHz___10-11.5s___s.,2459628.609201,Tautenburg,1797.0,6940,10,11.5,s.,Skylark/Feldlerche,
2459628.650708_Tautenburg___1818-5391kHz___10-11.2s___s.,2459628.650708,Tautenburg,1818.0,5391,10,11.2,s.,Skylark/Feldlerche,
2459628.664333_Tautenburg___1632-6837kHz___10-15.5s___s.,2459628.664333,Tautenburg,1632.0,6837,10,15.5,s.,Skylark/Feldlerche,
2459628.671133_Tautenburg___1694-5907kHz___10-13.1s___s.,2459628.671133,Tautenburg,1694.0,5907,10,13.1,s.,Skylark/Feldlerche,
2459628.700797_Tautenburg___1715-4978kHz___10-11.9s___s.,2459628.700797,Tautenburg,1715.0,4978,10,11.9,s.,Skylark/Feldlerche,
2459628.729003_Tautenburg___1798-6073kHz___10-11.8s___s.,2459628.729003,Tautenburg,1798.0,6073,10,11.8,s.,Skylark/Feldlerche,
2459628.730790_Tautenburg___2211-5598kHz___10-11.4s___s.,2459628.73079,Tautenburg,2211.0,5598,10,11.4,s.,Skylark/Feldlerche,
2459628.731038_Tautenburg___2210-5081kHz___10-11.6s___s.,2459628.731038,Tautenburg,2210.0,5081,10,11.6,s.,Skylark/Feldlerche,
2459628.731631_Tautenburg___2045-5577kHz___10-11.9s___s.,2459628.731631,Tautenburg,2045.0,5577,10,11.9,s.,Skylark/Feldlerche,
2459628.733269_Tautenburg___1736-6135kHz___10-11.4s___s.,2459628.733269,Tautenburg,1736.0,6135,10,11.4,s.,Skylark/Feldlerche,
2459628.733875_Tautenburg___1942-4957kHz___10-11.2s___s.,2459628.733875,Tautenburg,1942.0,4957,10,11.2,s.,Skylark/Feldlerche,
2459628.733948_Tautenburg___1838-5886kHz___10-11s___s.,2459628.733948,Tautenburg,1838.0,5886,10,11.0,s.,Skylark/Feldlerche,
2459628.738129_Tautenburg___6258-10368kHz___10-15s___st,2459628.738129,Tautenburg,6258.0,10368,10,15.0,st,Song Thrush/Singdrossel,
2459628.745088_Tautenburg___6485-9377kHz___10-11.1s___b.,2459628.745088,Tautenburg,6485.0,9377,10,11.1,b.,Blackbird/Amsel,
2459629.736098_Tautenburg___6527-10451kHz___10-15.8s___st,2459629.736098,Tautenburg,6527.0,10451,10,15.8,st,Song Thrush/Singdrossel,
2459630.339920_Tautenburg___1239-5267kHz___10-52.7s___gr,2459630.33992,Tautenburg,1239.0,5267,10,52.7,gr,Greenfinch/Gruenfink,
2459630.529841_Tautenburg___620-7064kHz___10-31.9s___wg,2459630.529841,Tautenburg,620.0,7064,10,31.9,wg,White-fronted Goose/Blaessgans,
2459630.734614_Tautenburg___6465-11463kHz___10-11.1s___st,2459630.734614,Tautenburg,6465.0,11463,10,11.1,st,Song Thrush/Singdrossel,
2459630.737553_Tautenburg___5701-9811kHz___10-11.2s___st,2459630.737553,Tautenburg,5701.0,9811,10,11.2,st,Song Thrush/Singdrossel,
2459631.263373_Tautenburg___7188-11298kHz___10-11.2s___st,2459631.263373,Tautenburg,7188.0,11298,10,11.2,st,Song Thrush/Singdrossel,
2459631.731317_Tautenburg___6279-10348kHz___10-11s___st,2459631.731317,Tautenburg,6279.0,10348,10,11.0,st,Song Thrush/Singdrossel,
2459631.749116_Tautenburg___5722-8923kHz___10-11.6s___b.,2459631.749116,Tautenburg,5722.0,8923,10,11.6,b.,Blackbird/Amsel,
2459648.677493_Tautenburg___5699-9504kHz___10-11.7s___st,2459648.677493,Tautenburg,5699.0,9504,10,11.7,st,Song Thrush/Singdrossel,
2459648.695356_Tautenburg___5840-8719kHz___10-11.5s___st,2459648.695356,Tautenburg,5840.0,8719,10,11.5,st,Song Thrush/Singdrossel,
2459648.698932_Tautenburg___6121-9685kHz___10-11.2s___b.,2459648.698932,Tautenburg,6121.0,9685,10,11.2,b.,Blackbird/Amsel,
2459648.705031_Tautenburg___6765-11033kHz___10-11.1s___st,2459648.705031,Tautenburg,6765.0,11033,10,11.1,st,Song Thrush/Singdrossel,
2459648.706860_Tautenburg___6625-10350kHz___10-11.3s___st,2459648.70686,Tautenburg,6625.0,10350,10,11.3,st,Song Thrush/Singdrossel,
2459648.707018_Tautenburg___6745-10450kHz___10-11.1s___st,2459648.707018,Tautenburg,6745.0,10450,10,11.1,st,Song Thrush/Singdrossel,
2459649.411003_Tautenburg___6705-9987kHz___10-11s___st,2459649.411003,Tautenburg,6705.0,9987,10,11.0,st,Song Thrush/Singdrossel,
2459650.277998_Tautenburg___6624-9282kHz___10-10.9s___st,2459650.277998,Tautenburg,6624.0,9282,10,10.9,st,Song Thrush/Singdrossel,
2459650.502723_Tautenburg___5657-9483kHz___10-11.5s___st,2459650.502723,Tautenburg,5657.0,9483,10,11.5,st,Song Thrush/Singdrossel,
2459650.508262_Tautenburg___5678-10067kHz___10-11.1s___st,2459650.508262,Tautenburg,5678.0,10067,10,11.1,st,Song Thrush/Singdrossel,
2459650.510608_Tautenburg___5517-9745kHz___10-16s___st,2459650.510608,Tautenburg,5517.0,9745,10,16.0,st,Song Thrush/Singdrossel,
2459650.544347_Tautenburg___7309-10913kHz___10-11.6s___st,2459650.544347,Tautenburg,7309.0,10913,10,11.6,st,Song Thrush/Singdrossel,
2459650.598856_Tautenburg___5759-10611kHz___10-11.6s___st,2459650.598856,Tautenburg,5759.0,10611,10,11.6,st,Song Thrush/Singdrossel,
2459650.604485_Tautenburg___5698-10268kHz___10-11.8s___st,2459650.604485,Tautenburg,5698.0,10268,10,11.8,st,Song Thrush/Singdrossel,
2459650.644741_Tautenburg___5819-9383kHz___10-11.2s___st,2459650.644741,Tautenburg,5819.0,9383,10,11.2,st,Song Thrush/Singdrossel,
2459650.677857_Tautenburg___6443-10691kHz___10-11.1s___st,2459650.677857,Tautenburg,6443.0,10691,10,11.1,st,Song Thrush/Singdrossel,
2459650.683484_Tautenburg___6262-10067kHz___10-11s___st,2459650.683484,Tautenburg,6262.0,10067,10,11.0,st,Song Thrush/Singdrossel,
2459650.689900_Tautenburg___6705-10148kHz___10-11.6s___st,2459650.6899,Tautenburg,6705.0,10148,10,11.6,st,Song Thrush/Singdrossel,
2459650.693055_Tautenburg___6262-9584kHz___10-11.7s___st,2459650.693055,Tautenburg,6262.0,9584,10,11.7,st,Song Thrush/Singdrossel,
2459650.695619_Tautenburg___6303-10068kHz___10-11.2s___st,2459650.695619,Tautenburg,6303.0,10068,10,11.2,st,Song Thrush/Singdrossel,
2459650.702438_Tautenburg___6363-10672kHz___10-17.8s___st,2459650.702438,Tautenburg,6363.0,10672,10,17.8,st,Song Thrush/Singdrossel,
2459650.702855_Tautenburg___6242-10309kHz___10-11.5s___st,2459650.702855,Tautenburg,6242.0,10309,10,11.5,st,Song Thrush/Singdrossel,
2459650.705790_Tautenburg___5618-9363kHz___10-17.3s___st,2459650.70579,Tautenburg,5618.0,9363,10,17.3,st,Song Thrush/Singdrossel,
2459651.338074_Tautenburg___5658-10430kHz___10-18.4s___st,2459651.338074,Tautenburg,5658.0,10430,10,18.4,st,Song Thrush/Singdrossel,
2459651.582782_Tautenburg___5094-9966kHz___10-11.9s___st,2459651.582782,Tautenburg,5094.0,9966,10,11.9,st,Song Thrush/Singdrossel,
2459651.631771_Tautenburg___6061-9846kHz___10-11.6s___st,2459651.631771,Tautenburg,6061.0,9846,10,11.6,st,Song Thrush/Singdrossel,
2459651.651162_Tautenburg___5154-8154kHz___10-11.7s___b.,2459651.651162,Tautenburg,5154.0,8154,10,11.7,b.,Blackbird/Amsel,
2459651.653903_Tautenburg___6021-10974kHz___10-12.4s___st,2459651.653903,Tautenburg,6021.0,10974,10,12.4,st,Song Thrush/Singdrossel,
2459651.686693_Tautenburg___5638-9745kHz___10-17s___st,2459651.686693,Tautenburg,5638.0,9745,10,17.0,st,Song Thrush/Singdrossel,
2459651.696874_Tautenburg___6142-9041kHz___10-11.6s___b.,2459651.696874,Tautenburg,6142.0,9041,10,11.6,b.,Blackbird/Amsel,
2459651.697957_Tautenburg___5316-9343kHz___10-11.6s___b.,2459651.697957,Tautenburg,5316.0,9343,10,11.6,b.,Blackbird/Amsel,
2459651.699546_Tautenburg___6523-11577kHz___10-11.6s___st,2459651.699546,Tautenburg,6523.0,11577,10,11.6,st,Song Thrush/Singdrossel,
2459651.699660_Tautenburg___6221-9825kHz___10-11.3s___st,2459651.69966,Tautenburg,6221.0,9825,10,11.3,st,Song Thrush/Singdrossel,
2459652.476766_Tautenburg___6443-9604kHz___10-11.4s___st,2459652.476766,Tautenburg,6443.0,9604,10,11.4,st,Song Thrush/Singdrossel,
2459652.498250_Tautenburg___1027-6886kHz___10-19.3s___co,2459652.49825,Tautenburg,1027.0,6886,10,19.3,co,Coot/Blaesshuhn,
2459652.514277_Tautenburg___5074-8678kHz___10-11.9s___re,2459652.514277,Tautenburg,5074.0,8678,10,11.9,re,Redwing/Rotdrossel,
2459652.517830_Tautenburg___5960-10631kHz___10-11.3s___st,2459652.51783,Tautenburg,5960.0,10631,10,11.3,st,Song Thrush/Singdrossel,
