filename,species_code
2460370.540758_Tautenburg___503-2879kHz___0-2m30s___background,background
2460214.675353_Tautenburg___544-8135kHz___0-2m30s___background,background
2460008.337560_Tautenburg___745-4309kHz___10-15.1s___co,co
2460022.681577_Tautenburg___4631-10007kHz___0-2m30s___background,background
2460241.719542_Tautenburg___5598-9403kHz___0-2m30s___background,background
2460192.637585_Tautenburg___6504-10551kHz___10-11.7s___st,st
2460044.598128_Tautenburg___4410-8517kHz___10-11.9s___re,re
2460022.652790_Tautenburg___5558-8779kHz___0-2m30s___background,background
2460208.615895_Tautenburg___6282-10188kHz___10-11.2s___st,st
2460250.638379_Tautenburg___5517-8094kHz___0-2m30s___background,background
2459865.665622_Tautenburg___6040-9040kHz___10-11s___st,st
2460248.242333_Tautenburg___5638-8255kHz___10-11.5s___re,re
2460248.466594_Tautenburg___6181-8658kHz___10-11.1s___re,re
2459865.498376_Tautenburg___5759-7994kHz___10-11.3s___re,re
2459895.380898_Tautenburg___6001-8296kHz___10-11s___re,re
2460261.738940_Tautenburg___1430-6886kHz___0-2m30s___background,background
2460008.337560_Tautenburg___745-4309kHz___0-2m30s___background,background
2460223.640471_Tautenburg___5477-8316kHz___10-11.5s___re,re
2459865.451404_Tautenburg___6222-9947kHz___10-11s___st,st
2460422.535824_Tautenburg___6483-11295kHz___0-2m30s___background,background
2460234.700311_Tautenburg___5779-9484kHz___0-2m30s___background,background
2460037.389507_Tautenburg___423-5416kHz___0-2m30s___background,background
2460373.245598_Tautenburg___363-3242kHz___10-41.8s___co,co
2460370.228644_Tautenburg___242-3021kHz___0-2m30s___background,background
2460251.716411_Tautenburg___5497-9584kHz___0-2m30s___background,background
2460013.287515_Tautenburg___774-4531kHz___0-2m30s___background,background
2460364.368271_Tautenburg___625-7934kHz___10-17.5s___ma,ma
2459899.741144_Tautenburg___5578-9041kHz___10-11.7s___re,re
2459995.734136_Tautenburg___1470-5839kHz___10-13.8s___s.,s.
2459861.547335_Tautenburg___6423-10812kHz___10-10.8s___st,st
2460214.440363_Tautenburg___5598-9947kHz___10-11.1s___st,st
2460212.640122_Tautenburg___6524-10209kHz___10-12.2s___st,st
2459872.506841_Tautenburg___5618-8115kHz___10-11.3s___re,re
2460270.234632_Tautenburg___5779-8477kHz___10-11.6s___re,re
2459861.411583_Tautenburg___6061-9484kHz___10-11.2s___st,st
2459847.452296_Tautenburg___4510-8336kHz___10-11.6s___re,re
2459899.419593_Tautenburg___5557-8336kHz___10-11.5s___re,re
2460023.386920_Tautenburg___4994-9101kHz___0-2m30s___background,background
2459862.459864_Tautenburg___6625-9444kHz___10-10.8s___st,st
2459870.565689_Tautenburg___6080-8758kHz___10-10.5s___st,st
2459684.487954_Tautenburg___5658-8920kHz___10-11.6s___r.,r.
2460256.525656_Tautenburg___685-10370kHz___10-54.1s___to,to
2459680.531457_Tautenburg___463-4289kHz___0-2m30s___background,background
2460214.658460_Tautenburg___5678-9745kHz___10-11.5s___st,st
2459895.167906_Tautenburg___5678-8497kHz___10-11.4s___re,re
2460212.684600_Tautenburg___5880-9967kHz___10-11.4s___r.,r.
2459863.438828_Tautenburg___6363-10712kHz___10-11s___st,st
2460233.439801_Tautenburg___584-11154kHz___10-14.6s___to,to
2459655.561164_Tautenburg___6060-9604kHz___10-11.6s___st,st
2460201.613955_Tautenburg___604-4430kHz___0-2m30s___background,background
2459864.576218_Tautenburg___5860-8739kHz___10-11.3s___st,st
2460373.245598_Tautenburg___363-3242kHz___0-2m30s___background,background
2460252.736717_Tautenburg___5779-9484kHz___10-11.5s___b.,b.
2459899.645206_Tautenburg___6644-8476kHz___10-10.9s___re,re
2460207.677891_Tautenburg___6523-11013kHz___10-11.1s___st,st
2460412.312482_Tautenburg___664-7872kHz___10-95.7s___to,to
2459627.747255_Tautenburg___5887-8551kHz___10-11.2s___b.,b.
2459872.688189_Tautenburg___6202-9725kHz___10-11s___st,st
2460212.594634_Tautenburg___222-7571kHz___10-241.3s___to,to
2460390.673595_Tautenburg___5289-8133kHz___10-11.7s___re,re
2460214.667824_Tautenburg___5376-10108kHz___10-13.3s___st,st
2460241.333268_Tautenburg___6685-10933kHz___10-10.6s___st,st
2459845.425368_Tautenburg___6483-9543kHz___10-11s___st,st
2460384.367345_Tautenburg___5489-8208kHz___10-11.6s___re,re
2460248.710974_Tautenburg___6765-8839kHz___10-11.1s___re,re
2459859.478287_Tautenburg___6162-9907kHz___10-11.2s___st,st
2460023.544758_Tautenburg___5577-8557kHz___0-2m30s___background,background
2460263.747365_Tautenburg___5920-9363kHz___0-2m30s___background,background
2459844.356384_Tautenburg___524-3705kHz___0-2m30s___background,background
2460247.721349_Tautenburg___4913-9222kHz___0-2m30s___background,background
2460024.513729_Tautenburg___4289-9282kHz___10-16.4s___re,re
2459667.470462_Tautenburg___5598-8195kHz___10-11.4s___re,re
2460260.592876_Tautenburg___665-7652kHz___0-2m30s___background,background
2460371.564457_Tautenburg___363-3746kHz___0-2m30s___background,background
2459844.674225_Tautenburg___5658-10027kHz___0-2m30s___background,background
2460247.524364_Tautenburg___283-4994kHz___0-2m30s___background,background
2460379.459988_Tautenburg___403-4873kHz___10-12.7s___co,co
2459862.524698_Tautenburg___5758-9986kHz___10-11.4s___st,st
2460212.673789_Tautenburg___6303-9504kHz___10-11.1s___st,st
2459870.529383_Tautenburg___6021-8276kHz___10-11.2s___re,re
2460212.575831_Tautenburg___5980-10550kHz___10-12s___st,st
2460226.624341_Tautenburg___5739-10954kHz___10-15.5s___st,st
2459655.603758_Tautenburg___5154-7550kHz___10-11s___re,re
2459653.620169_Tautenburg___4671-8074kHz___10-11.1s___re,re
2460205.663266_Tautenburg___5617-9523kHz___0-2m30s___background,background
2459857.307432_Tautenburg___6564-9222kHz___10-10.8s___st,st
2459897.322325_Tautenburg___5477-8356kHz___10-11.6s___re,re
2459705.311912_Tautenburg___665-11598kHz___10-15.7s___bo,bo
2460201.542504_Tautenburg___402-3342kHz___0-2m30s___background,background
2460230.195039_Tautenburg___6222-10490kHz___10-14.7s___st,st
