filename,species_code
2460235.698728_Tautenburg___7027-10631kHz___10-11.7s___st.wav,st
2460232.709166_Tautenburg___6423-10732kHz___10-20s___st.wav,st
2460226.675058_Tautenburg___5819-9564kHz___10-11.5s___st.wav,st
2459858.673952_Tautenburg___6242-8960kHz___10-11.1s___st.wav,st
2459862.357909_Tautenburg___5617-9785kHz___10-11s___st.wav,st
2459845.506156_Tautenburg___6463-10651kHz___10-11.2s___st.wav,st
2460226.423773_Tautenburg___6383-9786kHz___10-11.8s___st.wav,st
2460203.636906_Tautenburg___5799-9443kHz___10-11.6s___st.wav,st
2460216.465760_Tautenburg___6684-10550kHz___10-11.2s___st.wav,st
2460213.678785_Tautenburg___6222-10591kHz___10-13.8s___st.wav,st
2459843.662580_Tautenburg___6141-10409kHz___10-11s___st.wav,st
2459655.421098_Tautenburg___6342-11194kHz___10-11.2s___st.wav,st
2459860.362984_Tautenburg___6222-10833kHz___10-11.2s___st.wav,st
2460257.745150_Tautenburg___6644-10550kHz___10-11.5s___st.wav,st
2459849.670193_Tautenburg___6100-9926kHz___10-11.3s___st.wav,st
2459629.736098_Tautenburg___6527-10451kHz___10-15.8s___st.wav,st
2459692.621801_Tautenburg___6343-10752kHz___10-11.6s___st.wav,st
2460209.686230_Tautenburg___6564-11074kHz___10-20.9s___st.wav,st
2460223.668207_Tautenburg___5940-9745kHz___10-11.3s___st.wav,st
2460026.279620_Tautenburg___6303-9806kHz___10-21.2s___st.wav,st
2460222.210736_Tautenburg___6201-10933kHz___10-18.7s___st.wav,st
2460226.504331_Tautenburg___6222-9544kHz___10-11.4s___st.wav,st
2459870.668378_Tautenburg___6101-10088kHz___10-11.2s___st.wav,st
2460231.710080_Tautenburg___6745-10329kHz___10-12.1s___st.wav,st
2460048.632008_Tautenburg___5980-10530kHz___10-11.3s___st.wav,st
2460229.686322_Tautenburg___5758-9926kHz___10-11.7s___st.wav,st
2459860.326607_Tautenburg___6685-10913kHz___10-11.1s___st.wav,st
2460218.326184_Tautenburg___5497-9967kHz___10-15.1s___st.wav,st
2459864.536491_Tautenburg___6604-11537kHz___10-11.1s___st.wav,st
2459869.440531_Tautenburg___6141-10188kHz___10-11.1s___st.wav,st
2459862.499747_Tautenburg___6302-9664kHz___10-11.1s___st.wav,st
2460048.607270_Tautenburg___5577-9564kHz___10-15.1s___st.wav,st
2459651.338074_Tautenburg___5658-10430kHz___10-18.4s___st.wav,st
2459848.411988_Tautenburg___6202-10531kHz___10-11.3s___st.wav,st
2460234.603311_Tautenburg___5819-9947kHz___10-11.7s___st.wav,st
2460192.638982_Tautenburg___6342-9704kHz___10-28.6s___st.wav,st
2459873.201534_Tautenburg___6624-11416kHz___10-11.1s___st.wav,st
2459865.508307_Tautenburg___6222-9443kHz___10-11.1s___st.wav,st
2460029.618797_Tautenburg___5457-9182kHz___10-11.5s___st.wav,st
2460233.699319_Tautenburg___6041-10712kHz___10-15.7s___st.wav,st
2460236.506233_Tautenburg___5255-11054kHz___10-12s___st.wav,st
2459847.675963_Tautenburg___5940-9262kHz___10-11s___st.wav,st
2460231.709977_Tautenburg___6685-10430kHz___10-15.3s___st.wav,st
2460226.489286_Tautenburg___6282-9987kHz___10-11.8s___st.wav,st
2460214.527417_Tautenburg___5416-9846kHz___10-12.4s___st.wav,st
2459845.678611_Tautenburg___6362-10852kHz___10-11s___st.wav,st
2459865.453076_Tautenburg___6685-10450kHz___10-11.1s___st.wav,st
2460212.669881_Tautenburg___6665-11517kHz___10-11.6s___st.wav,st
2460372.526731_Tautenburg___6323-9806kHz___10-11.6s___st.wav,st
2460373.512978_Tautenburg___6484-9927kHz___10-11.6s___st.wav,st
2460257.738345_Tautenburg___5638-10651kHz___10-12.8s___st.wav,st
2460257.745584_Tautenburg___6463-10973kHz___10-15s___st.wav,st
2460236.297707_Tautenburg___5396-9886kHz___10-11.7s___st.wav,st
2460223.668867_Tautenburg___5960-9343kHz___10-11.5s___st.wav,st
2460230.697849_Tautenburg___6625-11236kHz___10-11.4s___st.wav,st
2459847.517690_Tautenburg___6302-9242kHz___10-11s___st.wav,st
2459859.433574_Tautenburg___6182-9041kHz___10-11s___st.wav,st
2460257.745807_Tautenburg___6805-10651kHz___10-11.2s___st.wav,st
2459862.474184_Tautenburg___5557-8537kHz___10-11s___st.wav,st
2460235.538589_Tautenburg___6061-9846kHz___10-11.1s___st.wav,st
2459871.527501_Tautenburg___6000-10047kHz___10-11s___st.wav,st
2459871.573602_Tautenburg___6604-8960kHz___10-10.9s___st.wav,st
2460226.508864_Tautenburg___6121-10289kHz___10-11.8s___st.wav,st
2459865.649540_Tautenburg___6242-9826kHz___10-11.1s___st.wav,st
2460244.361051_Tautenburg___5698-11416kHz___10-16.4s___st.wav,st
2460231.710259_Tautenburg___6322-10188kHz___10-15.4s___st.wav,st
2460235.203043_Tautenburg___6463-11295kHz___10-11.6s___st.wav,st
2460257.738500_Tautenburg___5940-10611kHz___10-15.6s___st.wav,st
2460370.618799_Tautenburg___6685-11235kHz___10-11.6s___st.wav,st
2459865.521619_Tautenburg___6000-8799kHz___10-11.5s___st.wav,st
2460231.709513_Tautenburg___6665-10309kHz___10-11.7s___st.wav,st
2459650.705790_Tautenburg___5618-9363kHz___10-17.3s___st.wav,st
2459862.406813_Tautenburg___6645-9464kHz___10-11.1s___st.wav,st
2459651.653903_Tautenburg___6021-10974kHz___10-12.4s___st.wav,st
2459862.387826_Tautenburg___6745-10128kHz___10-11s___st.wav,st
2459862.412566_Tautenburg___6121-9524kHz___10-11.1s___st.wav,st
2459853.240132_Tautenburg___6303-9786kHz___10-11.1s___st.wav,st
2459872.398435_Tautenburg___6544-9081kHz___10-11s___st.wav,st
2460234.703374_Tautenburg___6041-10148kHz___10-16.2s___st.wav,st
2460226.307107_Tautenburg___6222-10027kHz___10-11.6s___st.wav,st
2460218.463070_Tautenburg___6061-10410kHz___10-11.4s___st.wav,st
2460224.696630_Tautenburg___5497-11074kHz___10-11.7s___st.wav,st
2459863.555043_Tautenburg___6202-9001kHz___10-11.1s___st.wav,st
2460234.695482_Tautenburg___6061-8960kHz___10-11.6s___st.wav,st
2460226.399229_Tautenburg___6303-9786kHz___10-11.2s___st.wav,st
2459862.394173_Tautenburg___6846-10369kHz___10-11.1s___st.wav,st
2459692.629010_Tautenburg___6644-9604kHz___10-11.2s___st.wav,st
2459864.478058_Tautenburg___5376-9463kHz___10-11.4s___st.wav,st
2459860.443184_Tautenburg___6604-9584kHz___10-11.2s___st.wav,st
2460226.579764_Tautenburg___6161-10671kHz___10-11.7s___st.wav,st
2460240.407155_Tautenburg___6705-11577kHz___10-11.8s___st.wav,st
2460230.190355_Tautenburg___6926-10812kHz___10-11.4s___st.wav,st
2459847.557435_Tautenburg___7047-9685kHz___10-11.3s___st.wav,st
2460244.403350_Tautenburg___5316-8799kHz___10-11.8s___st.wav,st
2460238.636454_Tautenburg___6362-10510kHz___10-11.4s___st.wav,st
2459650.693055_Tautenburg___6262-9584kHz___10-11.7s___st.wav,st
2460226.591731_Tautenburg___7108-10229kHz___10-11.7s___st.wav,st
2459862.593471_Tautenburg___6363-9544kHz___10-11.3s___st.wav,st
2460234.702007_Tautenburg___5799-9403kHz___10-11.2s___st.wav,st
2459857.372947_Tautenburg___6564-9725kHz___10-11.1s___st.wav,st
2460438.476761_Tautenburg___6483-10651kHz___10-19.2s___st.wav,st
2459870.296755_Tautenburg___6665-10652kHz___10-11.8s___st.wav,st
2460257.738411_Tautenburg___5537-10691kHz___10-14.3s___st.wav,st
2460241.717229_Tautenburg___5699-10370kHz___10-11.2s___st.wav,st
2460410.628374_Tautenburg___6645-10330kHz___10-11.7s___st.wav,st
2460022.534267_Tautenburg___6242-10792kHz___10-11.4s___st.wav,st
2459863.686273_Tautenburg___6202-9927kHz___10-11.1s___st.wav,st
2459846.499477_Tautenburg___6101-9282kHz___10-11s___st.wav,st
2460234.695184_Tautenburg___6805-11033kHz___10-15.5s___st.wav,st
2459862.586734_Tautenburg___6543-10087kHz___10-11.1s___st.wav,st
2460243.719929_Tautenburg___6584-11014kHz___10-11.4s___st.wav,st
2460225.512785_Tautenburg___6786-10793kHz___10-11.3s___st.wav,st
2460203.651486_Tautenburg___5236-9323kHz___10-11.4s___st.wav,st
2459835.557596_Tautenburg___4772-10490kHz___10-11.3s___st.wav,st
2460223.668305_Tautenburg___5799-9302kHz___10-11.2s___st.wav,st
2459650.702855_Tautenburg___6242-10309kHz___10-11.5s___st.wav,st
2460223.671386_Tautenburg___5335-10107kHz___10-12.4s___st.wav,st
2459845.494878_Tautenburg___5859-9403kHz___10-11.1s___st.wav,st
2460216.537774_Tautenburg___6201-10651kHz___10-11.7s___st.wav,st
2459863.676865_Tautenburg___6684-9664kHz___10-11.2s___st.wav,st
2460246.459114_Tautenburg___6081-10047kHz___10-11.7s___st.wav,st
2460212.604643_Tautenburg___7309-11416kHz___10-11.6s___st.wav,st
2460228.704101_Tautenburg___6363-11658kHz___10-13.6s___st.wav,st
2460010.603423_Tautenburg___6041-10350kHz___10-11.3s___st.wav,st
2460223.675536_Tautenburg___6020-9080kHz___10-11.5s___st.wav,st
2460222.664986_Tautenburg___6302-9745kHz___10-11.5s___st.wav,st
2459862.664157_Tautenburg___6040-8980kHz___10-11.1s___st.wav,st
2460220.536163_Tautenburg___6081-10470kHz___10-11.3s___st.wav,st
2460023.511850_Tautenburg___6383-10430kHz___10-14s___st.wav,st
2460202.661271_Tautenburg___6142-9645kHz___10-12.2s___st.wav,st
2459847.681818_Tautenburg___6443-9403kHz___10-11s___st.wav,st
2460236.445752_Tautenburg___4611-10168kHz___10-15.6s___st.wav,st
2460214.222154_Tautenburg___6302-11174kHz___10-16.8s___st.wav,st
2460226.596967_Tautenburg___5557-10349kHz___10-15.5s___st.wav,st
2460381.375921_Tautenburg___6785-11215kHz___10-11.4s___st.wav,st
2459896.554450_Tautenburg___6241-9503kHz___10-10.9s___st.wav,st
2460213.413341_Tautenburg___5658-9584kHz___10-11.6s___st.wav,st
2460190.664220_Tautenburg___6463-10309kHz___10-11.1s___st.wav,st
2460226.505719_Tautenburg___6423-10369kHz___10-11.6s___st.wav,st
2460212.655828_Tautenburg___5658-9504kHz___10-11.2s___st.wav,st
2460226.367830_Tautenburg___6282-10309kHz___10-11.2s___st.wav,st
2459648.706860_Tautenburg___6625-10350kHz___10-11.3s___st.wav,st
2459862.404890_Tautenburg___6564-9302kHz___10-11.1s___st.wav,st
2459860.457850_Tautenburg___6624-9906kHz___10-11.3s___st.wav,st
2459872.383370_Tautenburg___5798-10832kHz___10-11.2s___st.wav,st
2460258.741494_Tautenburg___6242-10651kHz___10-11.4s___st.wav,st
2460034.411598_Tautenburg___6644-10872kHz___10-11.3s___st.wav,st
2459702.619965_Tautenburg___6262-10470kHz___10-11.2s___st.wav,st
2459836.555254_Tautenburg___6161-10007kHz___10-11.2s___st.wav,st
2460212.679648_Tautenburg___7127-10409kHz___10-11.2s___st.wav,st
2460209.686322_Tautenburg___6705-10249kHz___10-12.2s___st.wav,st
2459857.338398_Tautenburg___6141-9745kHz___10-11s___st.wav,st
2460231.709596_Tautenburg___6382-11436kHz___10-15s___st.wav,st
2460228.365067_Tautenburg___6504-10148kHz___10-11.3s___st.wav,st
2460212.672149_Tautenburg___7047-10933kHz___10-11.1s___st.wav,st
2459862.363070_Tautenburg___5698-11235kHz___10-11.2s___st.wav,st
2459695.357507_Tautenburg___6000-10430kHz___10-16s___st.wav,st
